Instrument Name,LMAX ID,LMAX symbol ,Contract Multiplier,Tick Size,Tick Value,Effective Date,Expiry Date,Quoted CCY
USD/NOK,100513,USD/NOK,10000,0.00001,0.1,05/07/2011,,NOK
EUR/NZD,100515,EUR/NZD,10000,0.00001,0.1,05/07/2011,,NZD
GBP/NZD,100517,GBP/NZD,10000,0.00001,0.1,05/07/2011,,NZD
EUR/PLN,100519,EUR/PLN,10000,0.00001,0.1,05/07/2011,,PLN
GBP/PLN,100521,GBP/PLN,10000,0.00001,0.1,05/07/2011,,PLN
USD/PLN,100523,USD/PLN,10000,0.00001,0.1,05/07/2011,,PLN
EUR/SEK,100525,EUR/SEK,10000,0.00001,0.1,05/07/2011,,SEK
GBP/SEK,100527,GBP/SEK,10000,0.00001,0.1,05/07/2011,,SEK
USD/SEK,100529,USD/SEK,10000,0.00001,0.1,05/07/2011,,SEK
EUR/SGD,100531,EUR/SGD,10000,0.00001,0.1,05/07/2011,,SGD
GBP/SGD,100533,GBP/SGD,10000,0.00001,0.1,05/07/2011,,SGD
USD/SGD,100535,USD/SGD,10000,0.00001,0.1,05/07/2011,,SGD
EUR/TRY,100537,EUR/TRY,10000,0.00001,0.1,05/07/2011,,TRY
GBP/TRY,100539,GBP/TRY,10000,0.00001,0.1,05/07/2011,,TRY
USD/TRY,100541,USD/TRY,10000,0.00001,0.1,05/07/2011,,TRY
EUR/ZAR,100543,EUR/ZAR,10000,0.00001,0.1,05/07/2011,,ZAR
GBP/ZAR,100545,GBP/ZAR,10000,0.00001,0.1,05/07/2011,,ZAR
USD/ZAR,100547,USD/ZAR,10000,0.00001,0.1,05/07/2011,,ZAR
NZD/USD,100613,NZD/USD,10000,0.00001,0.1,29/09/2011,,USD
AUD/NZD,100615,AUD/NZD,10000,0.00001,0.1,29/09/2011,,NZD
NZD/JPY,100617,NZD/JPY,10000,0.001,10,29/09/2011,,JPY
AUD/CHF,100619,AUD/CHF,10000,0.00001,0.1,29/09/2011,,CHF
AUD/CAD,100667,AUD/CAD,10000,0.00001,0.1,14/03/2012,,CAD
CAD/CHF,100671,CAD/CHF,10000,0.00001,0.1,14/03/2012,,CHF
CAD/JPY,100669,CAD/JPY,10000,0.001,10,14/03/2012,,JPY
NZD/CAD,100673,NZD/CAD,10000,0.00001,0.1,14/03/2012,,CAD
NZD/CHF,100675,NZD/CHF,10000,0.00001,0.1,14/03/2012,,CHF
NZD/SGD,100677,NZD/SGD,10000,0.00001,0.1,14/03/2012,,SGD
UK 100,100089,UK100,1,0.1,0.1,19/07/2010,,GBP
Wall Street 30,100091,WS30,1,1,1,19/07/2010,,USD
US SPX 500,100093,SPX,25,0.1,2.5,19/07/2010,,USD
US Tech 100,100095,NDX,10,0.1,1,19/07/2010,,USD
Germany 30,100097,GDAXI,2.5,0.1,0.25,19/07/2010,,EUR
France 40,100099,FCHI,1,0.1,0.1,19/07/2010,,EUR
Europe 50,100101,STOXX50E,1,0.1,0.1,19/07/2010,,EUR
Netherlands 25,100103,AEX,20,0.05,1,19/07/2010,,EUR
Gold (Spot),100637,XAU/USD,10,0.01,0.1,12/12/2011,,USD
Silver (Spot),100639,XAG/USD,500,0.001,0.5,12/12/2011,,USD
US Crude (Nov12),100717,CLX2,100,0.01,1,17/08/2012,17/10/2012 19:30,USD
US Crude (Dec12),100723,CLZ2,100,0.01,1,18/09/2012,13/11/2012 19:30,USD
US Crude (Jan13),100729,CLF3,100,0.01,1,18/10/2012,14/12/2012 19:30,USD
UK Brent (Dec12),100721,LCOZ2,100,0.01,1,11/09/2012,09/11/2012 19:30,USD
UK Brent (Jan13),100727,LCOF3,100,0.01,1,12/10/2012,11/12/2012 19:30,USD
Gasoil (Nov12),100719,LGOX2,10,0.05,0.5,10/09/2012,07/11/2012 16:30,USD
Gasoil (Dec12),100725,LGOZ2,10,0.05,0.5,08/10/2012,07/12/2012 16:30,USD
Gasoil (Jan13),100731,LGOF3,10,0.05,0.5,08/11/2012,07/01/2013 16:30,USD
UK Brent (Feb13),100733,LCOG3,100,0.01,1,12/11/2012,11/01/2013 19:30,USD
US Crude (Feb13),100735,CLG3,100,0.01,1,14/11/2012,16/01/2013 19:30,USD
